id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
NnNG6LclXEI,더불어민주당 정책조정회의 생중계 - 6월 22일,2023-06-22T00:53:46Z,"#정책조정회의 #더불어민주당 
2023년 6월 22일 오전 9시 30분",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,5135,803,0,49,https://www.youtube.com/watch?v=NnNG6LclXEI
NNw839d2SuA,"[씀] 민주당 인재영입 17호, 전 미래에셋대우 사장 홍성국",2020-02-06T06:52:44Z,"#더불어민주당 #인재영입 #홍성국 #미래학자
[씀] 민주당 인재영입 17호, 전 미래에셋대우 사장 홍성국",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1889,283,0,16,https://www.youtube.com/watch?v=NNw839d2SuA
nnxAooOXEIY,당대표 후보 박용진 - 충남 합동연설회,2022-08-14T01:54:42Z,"#박용진 #충남 #합동연설회
2022년 8월 14일 일요일 오전 10시
*재생목록 순서는 연설순서입니다",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,155,9,0,6,https://www.youtube.com/watch?v=nnxAooOXEIY
nOi6zr9IXtc,사상 첫 취향저격 정치OTT 서비스!🎬재밍🎬 커밍쑨!,2022-02-11T08:41:56Z,"사상 첫 취향저격 정치OTT 서비스! 🎬재밍🎬 커밍쑨!
http://www.Jaeming.com

🌟나를 위한 이재명 후보의 맞춤 정책 큐레이션과 꿀잼영상까지! 엄근진, 노잼 정치는 가랏!

🌟5년에 단 1번, 대통령뽑기잼!
💃재밍에서 무한대로 웃고 놀고 즐겨보자!

👯‍♂️국민 여러분 ~ 🎬재밍🎬 마음껏 누려보세요
👩‍💻🧑‍💻드루와 드루와 

#커밍쑨#재밍#이재명#민주당#대선#대통령#재미#허니잼#꿀잼#잼#OTT#재밍#MZ#전세대#아우르는#본격#정치#OTT#0215",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1327,125,0,19,https://www.youtube.com/watch?v=nOi6zr9IXtc
NorgEYpqpog,"공식 일정에 지인 데려간 김건희 여사, '내조'냐 '공약파기'냐",2022-06-15T06:03:37Z,#박홍근 #윤석열 #김건희,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,3608,418,0,48,https://www.youtube.com/watch?v=NorgEYpqpog
NoVR9R9L5aE,닥터헬기에서 새생명이?! 소중한 생명에게 전하는 러블리 메시지♥,2021-12-01T05:50:50Z,"국민반상회 - 전남 신안편 ""하늘을 나는 응급실, 닥터헬기""
사람의 목숨을 귀하게 여기는 사회, 생명의 위협을 느끼지 않는 나라!
전남 신안 응급의료 전용헬기 계류장",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,827,254,0,17,https://www.youtube.com/watch?v=NoVR9R9L5aE
nPcYv0aL_rE,"김현종 ""대한민국! 여기서 멈출 수 없습니다"" 나를 위해, 이재명",2022-02-27T05:09:12Z,#김현종 #이재명 #찬조연설,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2323,510,0,12,https://www.youtube.com/watch?v=nPcYv0aL_rE
nPttr44_VHU,[씀:최고위] 목을 치라더니 진술거부 한 거 실화? (황당),2019-10-02T04:58:50Z,"2019.10.2 더불어민주당 최고위원회의 中


이해찬 당대표 

""황교안 대표는 국회의원이 아니라서 불법이 아닌지 분간을 못하시는 것 같습니다""",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,7314,1572,0,219,https://www.youtube.com/watch?v=nPttr44_VHU
npU4e7v4E38,이권 카르텔 셀프저격 #양평고속도로 #김건희,2023-07-04T09:13:50Z,,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2434,310,0,31,https://www.youtube.com/watch?v=npU4e7v4E38
nqm4-8g3l_w,"좋은 청년정책 100가지, 시작하겠습니다",2023-04-06T02:59:30Z,#천원의아침밥 #학자금대출이자면제 #청년동행카드복원,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2314,307,0,14,https://www.youtube.com/watch?v=nqm4-8g3l_w
NqzKkHQ7_OI,'채상병의 억울한 죽음’ 철저한 진상규명으로 반드시 진실을 밝히겠습니다ㅣ최고위원회의,2023-09-13T01:01:58Z,"#채상병 #이종섭 #사의표명
2023년 9월 13일 오전 9시 30분",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4732,1016,0,29,https://www.youtube.com/watch?v=NqzKkHQ7_OI
