videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
26pG53QuzfY,"대통령 취임 2주년 기자회견, 국민의 명령을 받들 마지막 골든타임ㅣ최고위원회의",2024-05-08T01:09:57Z,3417,781,0,44
wWrriktBIwc,더불어민주당 원내대책회의 및 인선발표 생중계  - 5월 7일,2024-05-07T01:00:54Z,13322,2797,0,198
ruy4W2gLZtU,대통령은 범인이 아닐테니까.. 설마 특검 거부 안 하시겠죠?,2024-05-03T09:13:36Z,14461,980,0,66
G2IIL6-KAbI,제22대 국회 더불어민주당 제1기 원내대표 선출 당선자 총회 생중계,2024-05-03T02:41:08Z,9274,1465,0,35
iGGYY1YZtv8,국민은 윤석열 대통령의 협치 의지를 특검법 수용 여부로 확인할 것입니다ㅣ최고위원회의,2024-05-03T01:12:13Z,3740,742,0,29
OnZ82NvWD24,"이태원참사 특별법 통과, 이제 시작입니다 #채해병특검법 #전세사기특별법",2024-05-02T08:27:54Z,4126,445,0,19
zJqJGzt852E,살살 녹는 우리 세금,2024-05-02T06:37:32Z,10868,1153,0,58
FFyf9sTeQaU,더불어민주당 의원총회 생중계 - 5월 2일,2024-05-02T04:35:15Z,3523,745,0,26
XKhff_-V4YA,더불어민주당-더불어민주연합 합당수임기관 합동회의 생중계,2024-05-02T01:48:38Z,2400,670,0,13
v51lWmHsl78,더불어민주당 정책조정회의 생중계 - 5월 2일,2024-05-02T01:07:40Z,4683,1083,0,24
m7H1DfmMSqI,국힙원탑이 국힘원탑에게ㅣ이재명 싸이퍼ㅣ영수회담 Official MV,2024-04-30T09:00:15Z,5907,943,0,183
fqTlY_EntVo,이태원특별법에 대한 대통령의 오해,2024-04-30T08:07:10Z,7343,483,0,19
GfgC0f1d_LU,제3차 중앙위원회의 생중계 - 투표종료 및 개표결과 발표,2024-04-30T06:05:20Z,2529,618,0,33
dSGoeQXOXTc,제3차 중앙위원회의 생중계 - 개회선언 및 의결안건 상정,2024-04-30T01:13:45Z,2448,654,0,11
Iw1SnVAnyQo,더불어민주당 원내대책회의 생중계 - 4월 30일,2024-04-30T01:07:09Z,3727,924,0,27
Pp0g0O0QPI8,"학생인권조례 폐지, 학생의 권리를 억눌러야만 교권을 세울 수 있다는 시대착오적 발상입니다ㅣ최고위원회의",2024-04-29T00:55:15Z,2820,688,0,31
4rJuyWTr8Y4,대통령께서도 부디 우리 국민들과 같은 절박한 심정으로 나와주시길 바랍니다ㅣ최고위원회의,2024-04-26T00:37:34Z,4300,914,0,55
04nyQB8jCN0,정부·여당은 민생회복지원금을 조속히 수용해야 합니다,2024-04-25T09:50:56Z,2620,603,0,229
_Zy_zLuh07Y,"22대 국회 운영위, 법사위를 민주당이 맡아야 하는 이유",2024-04-25T09:39:19Z,117724,4242,0,130
uecc16pPK_o,더불어민주당 정책조정회의 생중계 - 4월 25일,2024-04-25T01:03:18Z,4976,1190,0,51
q4A7cnieOJM,"연금개혁, 이제 국회의 시간입니다",2024-04-24T08:12:47Z,3867,411,0,33
PQ0dXb0mT6A,"국민심판에 대한 대답, '친일 망언' 비서실장",2024-04-24T08:04:38Z,7076,598,0,33
6VH-Xi85Tu4,대통령실과 여당은 '채상병 특검법' 수용으로 국민 명령을 따르기 바랍니다ㅣ최고위원회의,2024-04-24T01:05:32Z,4549,1064,0,53
lhuLDzYfzwA,대통령실로부터 걸려온 전화 #채상병특검 #외압,2024-04-23T06:28:15Z,312072,14490,0,500
oOBQvViZrRA,더불어민주당 원내대책회의 생중계 - 4월 23일,2024-04-23T01:10:24Z,6440,1291,0,39
nm8gJIwnfIY,기재부의 명분 없는 추경 반대,2024-04-22T08:06:57Z,1770,523,0,63
fShX1waHBXU,13번의 해외순방✈️ = 내다버린 'G7 초청국',2024-04-22T07:34:17Z,94029,8549,0,280
uqJBrU6d0JI,국민을 위한 정치 복원의 분기점이 되기를 #영수회담,2024-04-22T06:43:54Z,4013,418,0,17
lIjm3SiTqwI,대통령을 만나 이번 총선에 나타난 민심을 가감 없이 전하겠습니다ㅣ최고위원회의,2024-04-22T01:09:24Z,4866,1032,0,29
HvF4VbgoIBg,"‘22대 국회, 민주당에 바란다!’ 이재명 당대표의 당원존 LIVE",2024-04-19T08:53:33Z,24572,4467,0,162
