videoId,긍정,부정,중립,댓글수,긍정비율,중립비율,부정비율
-_FipOlfNgE,41,182,14,237,0.1729957805907173,0.1729957805907173,0.7679324894514767
-_rSpS95ZO0,0,13,0,13,0,0,1
-a13rKvEAJI,88,154,37,279,0.3154121863799283,0.3154121863799283,0.5519713261648745
-b_A86wO4Wo,16,7,4,27,0.5925925925925926,0.5925925925925926,0.25925925925925924
-cWv4a9DSq4,10,19,0,29,0.3448275862068966,0.3448275862068966,0.6551724137931034
-f3UWWlxs2Q,873,157,59,1089,0.8016528925619835,0.8016528925619835,0.14416896235078053
-hpai5mcny8,8,4,2,14,0.5714285714285714,0.5714285714285714,0.2857142857142857
-io9xxqE9eY,0,1,2,3,0,0,0.3333333333333333
-lYtujRLj0w,12,10,1,23,0.5217391304347826,0.5217391304347826,0.43478260869565216
-p1Logq62Pc,19,38,7,64,0.296875,0.296875,0.59375
-qNUhgsYGf0,90,67,21,178,0.5056179775280899,0.5056179775280899,0.37640449438202245
-tWbm5WBGoA,30,106,27,163,0.18404907975460122,0.18404907975460122,0.6503067484662577
-vGPI2AAqHY,14,6,1,21,0.6666666666666666,0.6666666666666666,0.2857142857142857
-vKlsCbG5mE,7,5,1,13,0.5384615384615384,0.5384615384615384,0.38461538461538464
-vUdz020HOs,18,18,4,40,0.45,0.45,0.45
-vaqX58BmIc,10,10,1,21,0.47619047619047616,0.47619047619047616,0.47619047619047616
-wX-WN8lYo8,10,13,1,24,0.4166666666666667,0.4166666666666667,0.5416666666666666
-ywXxdoRT-s,98,90,13,201,0.48756218905472637,0.48756218905472637,0.44776119402985076
-yxziUIPZkI,12,10,2,24,0.5,0.5,0.4166666666666667
-zHaWR61rBc,6,11,0,17,0.35294117647058826,0.35294117647058826,0.6470588235294118
00uJ1dor2L4,2,13,2,17,0.11764705882352941,0.11764705882352941,0.7647058823529411
01CYSjRrP_Y,15,35,3,53,0.2830188679245283,0.2830188679245283,0.660377358490566
01m3P4-uJL4,22,12,0,34,0.6470588235294118,0.6470588235294118,0.35294117647058826
06vM6aqf474,11,16,1,28,0.39285714285714285,0.39285714285714285,0.5714285714285714
08WgpOne6-A,31,70,5,106,0.29245283018867924,0.29245283018867924,0.660377358490566
0BwtT8JPVu4,5,24,4,33,0.15151515151515152,0.15151515151515152,0.7272727272727273
0DaWbspl4ws,5,9,1,15,0.3333333333333333,0.3333333333333333,0.6
0EHCZSNpiMk,2,4,0,6,0.3333333333333333,0.3333333333333333,0.6666666666666666
0EmAtPxtGlc,3,2,0,5,0.6,0.6,0.4
0IbIknsVwUs,4,3,0,7,0.5714285714285714,0.5714285714285714,0.42857142857142855
0IoWQ1QTyjM,6,20,6,32,0.1875,0.1875,0.625
0NHpMOayBAg,5,2,0,7,0.7142857142857143,0.7142857142857143,0.2857142857142857
0O6FnZ0BApM,13,17,3,33,0.3939393939393939,0.3939393939393939,0.5151515151515151
0OvcjFGrXFU,23,12,7,42,0.5476190476190477,0.5476190476190477,0.2857142857142857
0PRxIlS0nOM,10,15,3,28,0.35714285714285715,0.35714285714285715,0.5357142857142857
0Pl2az32vm8,3,5,0,8,0.375,0.375,0.625
0Q1ZvD71aOk,13,9,0,22,0.5909090909090909,0.5909090909090909,0.4090909090909091
0Q3GFzxde4A,13,16,1,30,0.43333333333333335,0.43333333333333335,0.5333333333333333
0QoWVsmUFk0,12,27,6,45,0.26666666666666666,0.26666666666666666,0.6
0RnOLUtiadI,10,34,7,51,0.19607843137254902,0.19607843137254902,0.6666666666666666
0SSqWCLIpCg,5,48,4,57,0.08771929824561403,0.08771929824561403,0.8421052631578947
0T8jsbFd8v0,11,27,2,40,0.275,0.275,0.675
0TEWPRW9NFg,69,263,34,366,0.1885245901639344,0.1885245901639344,0.7185792349726776
0Tb4IoGiR9Y,5,8,1,14,0.35714285714285715,0.35714285714285715,0.5714285714285714
0W7jIMptdRI,1,1,0,2,0.5,0.5,0.5
0WfbD_fBMWU,9,8,2,19,0.47368421052631576,0.47368421052631576,0.42105263157894735
0XINCexzDT8,6,23,4,33,0.18181818181818182,0.18181818181818182,0.696969696969697
0XNtYuJEUTI,3,12,0,15,0.2,0.2,0.8
0XrbhZXlE7E,10,24,4,38,0.2631578947368421,0.2631578947368421,0.631578947368421
0_RF0QuN7Wg,31,12,2,45,0.6888888888888889,0.6888888888888889,0.26666666666666666
0aSbNLhUWxw,23,18,1,42,0.5476190476190477,0.5476190476190477,0.42857142857142855
